open,close,low,high,volume,amount,symbol,type,start_timestamp,end_timestamp
2289.8,2291.04,2289.5,2291.2,234.634146,537469.39543436,SPOT_ETH_USDT,5m,2024-02-04 08:10:00,2024-02-04 08:15:00
2290.9,2291.16,2290.39,2291.3,313.347102,717869.23568584,SPOT_ETH_USDT,5m,2024-02-04 08:15:00,2024-02-04 08:20:00
2291.06,2290.86,2290.4,2291.61,616.532843,1412471.62280757,SPOT_ETH_USDT,5m,2024-02-04 08:20:00,2024-02-04 08:25:00
2290.85,2291.23,2290.33,2291.39,200.475168,459257.25265867,SPOT_ETH_USDT,5m,2024-02-04 08:25:00,2024-02-04 08:30:00
2291.1,2292.51,2290.77,2293.3,327.923693,751599.81328061,SPOT_ETH_USDT,5m,2024-02-04 08:30:00,2024-02-04 08:35:00
2292.56,2291.19,2290.93,2292.75,153.158544,350980.54569993,SPOT_ETH_USDT,5m,2024-02-04 08:35:00,2024-02-04 08:40:00
2291.23,2291.67,2289.98,2292.16,644.156288,1475638.06255663,SPOT_ETH_USDT,5m,2024-02-04 08:40:00,2024-02-04 08:45:00
2291.83,2291.19,2291.04,2292.45,178.4669,409030.04271869,SPOT_ETH_USDT,5m,2024-02-04 08:45:00,2024-02-04 08:50:00
2291.19,2290.3,2289.43,2291.47,326.074509,746775.20798668,SPOT_ETH_USDT,5m,2024-02-04 08:50:00,2024-02-04 08:55:00
2290.3,2290.2,2289.3,2290.54,204.056585,467318.19316638,SPOT_ETH_USDT,5m,2024-02-04 08:55:00,2024-02-04 09:00:00
2290.2,2289.4,2288.92,2290.8,489.133899,1120017.41255385,SPOT_ETH_USDT,5m,2024-02-04 09:00:00,2024-02-04 09:05:00
2288.9,2287.04,2286.9,2289.4,371.789712,850747.50062263,SPOT_ETH_USDT,5m,2024-02-04 09:05:00,2024-02-04 09:10:00
2287.04,2287.45,2286.6,2287.79,437.0797,999640.72595603,SPOT_ETH_USDT,5m,2024-02-04 09:10:00,2024-02-04 09:15:00
2287.45,2289.99,2286.84,2290.0,512.562525,1173264.27674214,SPOT_ETH_USDT,5m,2024-02-04 09:15:00,2024-02-04 09:20:00
2289.99,2295.6,2289.68,2296.31,670.272818,1537001.50378182,SPOT_ETH_USDT,5m,2024-02-04 09:20:00,2024-02-04 09:25:00
2295.36,2296.7,2295.36,2297.6,655.308329,1505009.77753135,SPOT_ETH_USDT,5m,2024-02-04 09:25:00,2024-02-04 09:30:00
2296.7,2302.68,2296.7,2302.85,1698.270933,3906344.48481162,SPOT_ETH_USDT,5m,2024-02-04 09:30:00,2024-02-04 09:35:00
2302.68,2300.38,2299.3,2302.82,749.648651,1724467.59253086,SPOT_ETH_USDT,5m,2024-02-04 09:35:00,2024-02-04 09:40:00
2300.62,2299.86,2299.78,2302.03,570.767772,1313077.64190569,SPOT_ETH_USDT,5m,2024-02-04 09:40:00,2024-02-04 09:45:00
2299.91,2302.74,2299.91,2303.29,452.091845,1040749.20157714,SPOT_ETH_USDT,5m,2024-02-04 09:45:00,2024-02-04 09:50:00
2302.74,2304.22,2302.0,2305.75,1447.390944,3335214.24425207,SPOT_ETH_USDT,5m,2024-02-04 09:50:00,2024-02-04 09:55:00
2304.23,2303.38,2302.79,2304.58,488.222464,1124781.11077123,SPOT_ETH_USDT,5m,2024-02-04 09:55:00,2024-02-04 10:00:00
2303.38,2302.06,2301.32,2304.91,468.101489,1078245.65123064,SPOT_ETH_USDT,5m,2024-02-04 10:00:00,2024-02-04 10:05:00
2302.2,2302.16,2301.23,2303.47,424.806716,978064.10211353,SPOT_ETH_USDT,5m,2024-02-04 10:05:00,2024-02-04 10:10:00
2302.16,2302.3,2301.58,2303.86,333.068051,766918.50612258,SPOT_ETH_USDT,5m,2024-02-04 10:10:00,2024-02-04 10:15:00
2302.02,2301.22,2300.95,2302.75,190.70443,438945.92680729,SPOT_ETH_USDT,5m,2024-02-04 10:15:00,2024-02-04 10:20:00
2301.19,2300.75,2299.23,2301.25,421.742336,970047.900963,SPOT_ETH_USDT,5m,2024-02-04 10:20:00,2024-02-04 10:25:00
2300.65,2302.2,2299.78,2302.27,358.030361,823815.1426024,SPOT_ETH_USDT,5m,2024-02-04 10:25:00,2024-02-04 10:30:00
2302.23,2301.55,2300.94,2302.44,295.360034,679830.25080648,SPOT_ETH_USDT,5m,2024-02-04 10:30:00,2024-02-04 10:35:00
2301.56,2300.1,2300.0,2301.94,188.671633,434120.74405159,SPOT_ETH_USDT,5m,2024-02-04 10:35:00,2024-02-04 10:40:00
2300.1,2300.76,2300.1,2301.41,134.465419,309374.80972607,SPOT_ETH_USDT,5m,2024-02-04 10:40:00,2024-02-04 10:45:00
2300.68,2299.43,2297.05,2300.78,416.635407,957684.13005636,SPOT_ETH_USDT,5m,2024-02-04 10:45:00,2024-02-04 10:50:00
2299.44,2300.72,2298.35,2300.87,207.583633,477423.21195352,SPOT_ETH_USDT,5m,2024-02-04 10:50:00,2024-02-04 10:55:00
2300.72,2300.74,2300.52,2301.61,159.67506,367410.92573639,SPOT_ETH_USDT,5m,2024-02-04 10:55:00,2024-02-04 11:00:00
2300.74,2300.93,2299.62,2301.28,168.839836,388377.74607824,SPOT_ETH_USDT,5m,2024-02-04 11:00:00,2024-02-04 11:05:00
2300.93,2301.96,2300.92,2303.76,391.412945,901073.31210028,SPOT_ETH_USDT,5m,2024-02-04 11:05:00,2024-02-04 11:10:00
