ts,price,imblance,buy_order_flow,net_flow,sell_order_flow
1727745840.008,63481.0,-4.631294999999998,-0.11067000000000071,-0.0626000000000011,-0.04806999999999961
1727745841.007,63491.0,-6.912831000000001,2.1935650000000013,2.2815360000000027,-0.08797100000000135
1727745842.007,63494.0,-27.197076000000003,17.130465,20.284245,-3.1537799999999994
1727745843.007,63494.0,-12.209209000000001,-13.436758000000001,-14.987867000000001,1.551109
1727745844.008,63493.0,-4.290709999999999,-6.265057000000003,-7.918499000000004,1.6534420000000005
1727745845.008,63485.0,4.573191,-5.284233999999998,-8.863900999999998,3.579667
1727745846.008,63485.0,4.825833000000001,-0.30166000000000137,-0.25264200000000114,-0.04901800000000023
1727745847.007,63484.0,5.801857999999999,-0.6277659999999996,-0.9760249999999984,0.34825899999999876
1727745848.007,63484.0,6.7286649999999995,-0.7478400000000003,-0.9268070000000004,0.1789670000000001
1727745849.007,63484.0,5.061169999999999,-0.19916999999999985,1.6674950000000004,-1.8666650000000002
1727745850.007,63481.0,6.471144000000001,-0.145293,-1.4099740000000014,1.2646810000000013
1727745851.008,63478.0,13.048894000000002,-0.41558800000000007,-6.577750000000002,6.162162000000002
1727745852.007,63479.0,7.341325999999998,3.9040250000000016,5.707568000000005,-1.803543000000003
1727745853.007,63479.0,7.129735999999998,-0.9294900000000008,0.21158999999999972,-1.1410800000000005
1727745854.008,63479.0,8.268366,-1.539820000000001,-1.1386300000000031,-0.40118999999999794
1727745855.008,63479.0,-0.6549930000000002,4.272989,8.923359000000001,-4.6503700000000014
1727745856.007,63478.0,0.9680050000000007,-0.0357580000000004,-1.6229980000000008,1.5872400000000004
1727745857.007,63478.0,3.66059,-4.1309499999999995,-2.6925849999999993,-1.4383650000000001
1727745858.01,63470.0,-3.418901,10.692027,7.079491,3.6125359999999995
1727745859.008,63468.0,-0.3121740000000006,-1.7103800000000007,-3.1067269999999994,1.3963469999999987
1727745860.008,63466.0,8.632450000000002,-10.110381999999998,-8.944624000000001,-1.1657579999999967
1727745861.007,63466.0,6.67846,0.3200899999999999,1.9539900000000014,-1.6339000000000015
1727745862.008,63469.0,3.8443469999999986,1.4753600000000011,2.834113000000001,-1.358753
1727745863.007,63468.0,2.698202999999998,1.1142900000000004,1.1461440000000005,-0.03185400000000005
1727745864.007,63467.0,4.891465000000001,-2.5997000000000017,-2.193262000000003,-0.40643799999999874
1727745865.007,63466.0,8.873448999999999,1.383131,-3.9819839999999984,5.3651149999999985
1727745866.008,63466.0,6.086872999999999,0.7878700000000003,2.7865760000000006,-1.9987060000000003
1727745867.007,63466.0,5.6871529999999995,-1.1831200000000006,0.3997199999999994,-1.58284
1727745868.007,63468.0,1.9943040000000005,3.0093689999999995,3.692848999999999,-0.6834799999999994
1727745869.008,63468.0,-4.953535999999999,6.22808,6.947839999999999,-0.7197599999999991
1727745870.008,63469.0,-3.3543510000000003,-2.511263999999999,-1.5991849999999985,-0.9120790000000003
1727745871.008,63478.0,-24.301147,16.844428999999998,20.946796,-4.102367
1727745872.007,63479.0,-11.969529,-10.390983,-12.331618,1.9406349999999999
1727745873.008,63479.0,-11.715473,-0.49152200000000157,-0.25405600000000117,-0.2374660000000004
1727745874.008,63485.0,-3.8110699999999995,-7.8935939999999984,-7.904402999999999,0.010809000000000957
1727745875.007,63491.0,2.098760000000002,2.3229039999999994,-5.909830000000001,8.232734
1727745876.007,63491.0,11.591783999999999,-7.129059999999999,-9.493023999999997,2.3639639999999975
1727745877.008,63492.0,12.512791000000002,-0.2716200000000002,-0.9210070000000028,0.6493870000000026
1727745878.008,63492.0,12.409502,0.33000000000000007,0.10328900000000196,0.2267109999999981
1727745879.007,63491.0,12.795031999999999,-0.7533000000000001,-0.38552999999999993,-0.36777000000000015
1727745880.007,63491.0,13.746882,-0.64723,-0.9518499999999999,0.3046199999999999
1727745881.009,63488.0,6.7545579999999985,1.48455,6.992324000000002,-5.507774000000001
1727745882.008,63487.0,4.695317,-1.1417899999999999,2.0592409999999988,-3.2010309999999986
1727745883.007,63487.0,5.1053149999999965,2.185490000000001,-0.40999799999999675,2.595487999999998
1727745884.007,63487.0,4.426905,0.48897999999999886,0.6784099999999968,-0.189429999999998
1727745885.007,63489.0,0.5653700000000006,1.1161799999999982,3.861534999999999,-2.745355000000001
1727745886.01,63491.0,-1.874734000000001,0.3966680000000036,2.4401040000000016,-2.043435999999998
1727745887.007,63491.0,-7.061869999999999,2.823431999999997,5.187135999999997,-2.3637040000000007
1727745888.008,63490.0,-0.8923099999999993,-4.263309999999999,-6.16956,1.9062500000000009
1727745889.007,63487.0,0.7422460000000015,-0.8112400000000002,-1.6345560000000008,0.8233160000000006
1727745890.007,63484.0,1.4667789999999985,0.5388390000000007,-0.724532999999997,1.2633719999999977
1727745891.008,63484.0,2.3531379999999986,-0.5180700000000003,-0.8863590000000001,0.36828899999999987
1727745892.008,63484.0,-4.158719000000002,6.381330000000001,6.511857000000001,-0.13052699999999984
1727745893.008,63484.0,-3.0128619999999993,-1.4879900000000026,-1.145857000000003,-0.3421329999999996
1727745894.008,63484.0,-2.5401619999999996,-0.47273999999999994,-0.4726999999999997,-4.000000000026205e-05
1727745895.007,63484.0,-3.428712,0.9471300000000005,0.8885500000000004,0.058580000000000076
1727745896.007,63484.0,-2.374281999999999,-1.0622100000000012,-1.0544300000000009,-0.007780000000000342
1727745897.007,63484.0,-1.9019119999999994,-0.47236999999999973,-0.47236999999999973,0.0
1727745898.007,63484.0,0.12442799999999998,-2.2330599999999983,-2.0263399999999994,-0.2067199999999989
1727745899.008,63484.0,0.12307799999999958,0.0015099999999996783,0.0013500000000004064,0.00015999999999927184
1727745900.008,63484.0,1.680887999999999,-1.544259999999999,-1.5578099999999995,0.013550000000000395
1727745901.008,63484.0,2.3317079999999994,-0.38962000000000074,-0.6508200000000004,0.26119999999999965
1727745902.007,63484.0,1.0183659999999994,1.2989400000000004,1.313342,-0.014401999999999582
1727745903.007,63485.0,-3.688887999999998,1.9981999999999989,4.707253999999997,-2.7090539999999987
