timestamp,symbol,price,size,side,source
1734011525595,SPOT_BTC_USDT,100973.5,0.001689,SELL,0
1734011525595,SPOT_WOO_USDT,0.3051,837.0,BUY,0
1734011525795,SPOT_ETH_USDT,3937.59,0.0098,BUY,0
1734011525795,SPOT_BTC_USDT,100969.38,0.00034,SELL,0
1734011525795,SPOT_BTC_USDT,100978.08,0.1,BUY,0
1734011525995,SPOT_ETH_USDT,3937.58,0.3671,SELL,0
1734011525995,SPOT_BTC_USDT,100974.63,0.010312,SELL,0
1734011525995,SPOT_BTC_USDT,100969.38,0.00717,SELL,0
1734011526195,SPOT_ETH_USDT,3937.32,0.0001,SELL,0
1734011526195,SPOT_BTC_USDT,100969.38,0.00013,SELL,0
1734011526395,SPOT_ETH_USDT,3937.66,0.000255,BUY,0
1734011526395,SPOT_BTC_USDT,100969.38,0.00026,SELL,0
1734011526395,SPOT_BTC_USDT,100970.0,0.002823,SELL,0
1734011526595,SPOT_ETH_USDT,3937.33,1.1977,SELL,0
1734011526595,SPOT_BTC_USDT,100968.86,0.13316,SELL,0
1734011526595,SPOT_BTC_USDT,100969.39,0.00069,BUY,0
1734011526595,SPOT_BTC_USDT,100967.77,0.051081,SELL,0
1734011526795,SPOT_ETH_USDT,3937.07,0.005,BUY,0
1734011526795,SPOT_BTC_USDT,100951.82,0.103075,SELL,0
1734011526795,SPOT_BTC_USDT,100962.9,0.01439,SELL,0
1734011526995,SPOT_ETH_USDT,3936.66,21.4789,SELL,0
1734011526995,SPOT_WOO_USDT,0.305,819.2,SELL,0
1734011526995,SPOT_BTC_USDT,100958.17,0.676879,SELL,0
1734011526995,SPOT_BTC_USDT,100959.37,0.22894,SELL,0
1734011526995,SPOT_BTC_USDT,100952.72,0.00327,BUY,0
1734011527195,SPOT_ETH_USDT,3937.0,0.0001,BUY,0
1734011527195,SPOT_BTC_USDT,100947.43,0.103593,SELL,0
1734011527195,SPOT_WOO_USDT,0.3049,89.0,SELL,0
1734011527395,SPOT_ETH_USDT,3936.67,3.134486,SELL,0
1734011527395,SPOT_ETH_USDT,3936.51,0.0175,SELL,0
1734011527395,SPOT_ETH_USDT,3936.51,0.007,BUY,0
1734011527395,SPOT_WOO_USDT,0.3049,349.4,SELL,0
1734011527395,SPOT_BTC_USDT,100941.3,0.00087,SELL,0
1734011527395,SPOT_BTC_USDT,100942.95,0.02432,SELL,0
1734011527595,SPOT_ETH_USDT,3936.51,0.022,BUY,0
1734011527595,SPOT_ETH_USDT,3936.5,0.751397,SELL,0
1734011527595,SPOT_BTC_USDT,100940.1,0.10571,SELL,0
1734011527795,SPOT_ETH_USDT,3936.67,0.000255,BUY,0
1734011527795,SPOT_ETH_USDT,3936.49,0.000255,SELL,0
1734011527795,SPOT_ETH_USDT,3936.51,1.1302,BUY,0
1734011527795,SPOT_BTC_USDT,100948.6,0.00606,SELL,0
1734011527795,SPOT_BTC_USDT,100939.99,0.00094,BUY,0
1734011527995,SPOT_BTC_USDT,100942.3,1e-05,BUY,0
1734011527995,SPOT_BTC_USDT,100940.0,1e-05,SELL,0
1734011527995,SPOT_BTC_USDT,100939.99,0.01485,BUY,0
1734011528195,SPOT_ETH_USDT,3936.5,0.0193,SELL,0
1734011528195,SPOT_ETH_USDT,3936.44,0.02795,SELL,0
1734011528195,SPOT_BTC_USDT,100939.99,0.00067,BUY,0
1734011528195,SPOT_BTC_USDT,100956.96,0.006036,SELL,0
1734011528395,SPOT_ETH_USDT,3936.5,0.3102,SELL,0
1734011528395,SPOT_BTC_USDT,100939.99,0.00012,BUY,0
1734011528395,SPOT_BTC_USDT,100956.96,0.00459,SELL,0
1734011528595,SPOT_ETH_USDT,3936.48,0.0014,SELL,0
1734011528595,SPOT_BTC_USDT,100939.98,0.00315,SELL,0
1734011528795,SPOT_ETH_USDT,3936.49,1.7982,BUY,0
1734011528795,SPOT_BTC_USDT,100956.97,0.1,BUY,0
1734011528995,SPOT_ETH_USDT,3936.59,0.7342,BUY,0
1734011529395,SPOT_ETH_USDT,3936.79,0.0127,BUY,0
1734011529595,SPOT_ETH_USDT,3936.78,0.0433,SELL,0
1734011529595,SPOT_ETH_USDT,3936.79,0.063,BUY,0
1734011529795,SPOT_BTC_USDT,100956.96,0.001957,SELL,0
1734011529795,SPOT_BTC_USDT,100939.98,0.14903,SELL,0
1734011529795,SPOT_BTC_USDT,100939.99,0.00084,BUY,0
1734011529795,SPOT_BTC_USDT,100942.4,1e-05,SELL,0
1734011529795,SPOT_BTC_USDT,100942.5,9.8e-05,BUY,0
1734011529795,SPOT_BTC_USDT,100939.98,0.001,SELL,0
1734011529795,SPOT_BTC_USDT,100942.4,0.000659,SELL,0
1734011529995,SPOT_ETH_USDT,3936.78,0.5046,SELL,0
1734011529995,SPOT_BTC_USDT,100932.33,0.10286,SELL,0
1734011529995,SPOT_BTC_USDT,100939.98,0.001,SELL,0
1734011530195,SPOT_ETH_USDT,3936.97,1.5644,BUY,0
1734011530195,SPOT_BTC_USDT,100942.4,1e-05,SELL,0
1734011530195,SPOT_BTC_USDT,100942.5,0.02412,BUY,0
1734011530195,SPOT_BTC_USDT,100939.99,0.0005,BUY,0
1734011530395,SPOT_ETH_USDT,3937.52,0.001739,BUY,0
1734011530395,SPOT_ETH_USDT,3937.33,1.6243,BUY,0
1734011530395,SPOT_BTC_USDT,100939.98,0.00041,SELL,0
1734011530395,SPOT_BTC_USDT,100942.5,0.013569,BUY,0
1734011530595,SPOT_ETH_USDT,3937.52,0.119186,BUY,0
1734011530595,SPOT_ETH_USDT,3937.5,0.4388,BUY,0
1734011530595,SPOT_BTC_USDT,100939.98,8e-05,SELL,0
1734011530795,SPOT_ETH_USDT,3937.6,1.7145,BUY,0
1734011530795,SPOT_BTC_USDT,100939.99,0.0055,BUY,0
1734011530995,SPOT_ETH_USDT,3937.73,1.2788,BUY,0
1734011530995,SPOT_ETH_USDT,3937.59,4.937802,BUY,0
1734011530995,SPOT_BTC_USDT,100942.04,0.29541,BUY,0
1734011530995,SPOT_BTC_USDT,100944.89,0.00099,SELL,0
1734011530995,SPOT_BTC_USDT,100945.13,0.008895,BUY,0
1734011531195,SPOT_BTC_USDT,100952.29,0.02612,BUY,0
1734011531395,SPOT_ETH_USDT,3938.01,0.4525,BUY,0
1734011531395,SPOT_BTC_USDT,100959.5,0.02412,SELL,0
1734011531395,SPOT_BTC_USDT,100955.99,0.0002,SELL,0
1734011531595,SPOT_ETH_USDT,3938.26,9.7691,BUY,0
1734011531595,SPOT_ETH_USDT,3937.59,3.155551,BUY,0
1734011531595,SPOT_BTC_USDT,100956.04,0.30367,BUY,0
1734011531595,SPOT_BTC_USDT,100955.99,0.00039,SELL,0
1734011531595,SPOT_BTC_USDT,100959.5,0.013569,SELL,0
1734011531595,SPOT_WOO_USDT,0.3053,670.3,BUY,0
1734011531795,SPOT_ETH_USDT,3938.28,8.3801,BUY,0
1734011531795,SPOT_ETH_USDT,3938.52,0.005,SELL,0
1734011531795,SPOT_BTC_USDT,100961.88,0.02092,BUY,0
1734011531795,SPOT_BTC_USDT,100964.6,0.001,SELL,0
1734011531795,SPOT_BTC_USDT,100959.6,0.006304,BUY,0
1734011531995,SPOT_ETH_USDT,3938.6,0.1,BUY,0
1734011531995,SPOT_BTC_USDT,100962.62,0.00192,SELL,0
1734011531995,SPOT_BTC_USDT,100964.22,0.128659,BUY,0
1734011532195,SPOT_BTC_USDT,100962.63,0.00568,BUY,0
1734011532395,SPOT_ETH_USDT,3938.21,0.0001,BUY,0
1734011532395,SPOT_ETH_USDT,3938.59,15.1647,SELL,0
1734011532395,SPOT_BTC_USDT,100960.1,1e-05,SELL,0
1734011532595,SPOT_ETH_USDT,3938.06,0.000255,SELL,0
1734011532595,SPOT_ETH_USDT,3938.14,8.8407,SELL,0
1734011532595,SPOT_BTC_USDT,100961.27,1.5123,SELL,0
1734011532595,SPOT_BTC_USDT,100968.02,1.929006,SELL,0
1734011532595,SPOT_WOO_USDT,0.305,2242.8,SELL,0
1734011532795,SPOT_ETH_USDT,3937.71,0.0086,SELL,0
1734011532795,SPOT_ETH_USDT,3937.72,0.0208,BUY,0
1734011532795,SPOT_ETH_USDT,3937.62,0.076234,BUY,0
1734011532795,SPOT_BTC_USDT,100949.21,0.0247,SELL,0
1734011532795,SPOT_BTC_USDT,100944.01,0.01046,BUY,0
1734011532795,SPOT_BTC_USDT,100947.7,0.005138,SELL,0
1734011532995,SPOT_ETH_USDT,3937.71,0.0917,SELL,0
1734011532995,SPOT_BTC_USDT,100940.3,0.020811,BUY,0
1734011532995,SPOT_BTC_USDT,100932.21,0.149604,SELL,0
1734011532995,SPOT_BTC_USDT,100943.16,0.00586,SELL,0
1734011533195,SPOT_ETH_USDT,3937.72,0.0121,BUY,0
1734011533195,SPOT_BTC_USDT,100959.01,0.00115,SELL,0
1734011533195,SPOT_BTC_USDT,100932.3,0.00087,BUY,0
1734011533395,SPOT_ETH_USDT,3937.61,0.0001,SELL,0
1734011533395,SPOT_BTC_USDT,100940.21,1e-05,SELL,0
1734011533595,SPOT_ETH_USDT,3937.73,3.1778,BUY,0
1734011533595,SPOT_ETH_USDT,3938.19,0.000151,BUY,0
1734011533595,SPOT_BTC_USDT,100943.01,0.00985,BUY,0
1734011533795,SPOT_ETH_USDT,3938.0,0.0214,BUY,0
1734011533795,SPOT_ETH_USDT,3937.99,0.0254,SELL,0
1734011533795,SPOT_BTC_USDT,100943.0,0.0005,SELL,0
1734011533995,SPOT_ETH_USDT,3938.08,5.5273,BUY,0
1734011533995,SPOT_BTC_USDT,100943.01,0.00448,BUY,0
1734011534195,SPOT_ETH_USDT,3938.62,13.103,BUY,0
1734011534195,SPOT_ETH_USDT,3938.55,5.541452,BUY,0
1734011534195,SPOT_BTC_USDT,100943.18,0.55001,BUY,0
1734011534195,SPOT_BTC_USDT,100943.0,0.00202,SELL,0
1734011534195,SPOT_BTC_USDT,100947.09,0.064345,BUY,0
1734011534195,SPOT_WOO_USDT,0.3052,811.3,BUY,0
1734011534395,SPOT_ETH_USDT,3939.0,1.299607,BUY,0
1734011534395,SPOT_ETH_USDT,3938.99,0.0078,SELL,0
1734011534395,SPOT_ETH_USDT,3938.94,0.1,BUY,0
1734011534395,SPOT_BTC_USDT,100954.03,0.01636,BUY,0
1734011534395,SPOT_BTC_USDT,100954.44,0.016025,BUY,0
1734011534595,SPOT_ETH_USDT,3938.94,0.2,BUY,0
1734011534595,SPOT_BTC_USDT,100957.59,0.00914,SELL,0
1734011534795,SPOT_ETH_USDT,3939.0,0.736112,BUY,0
1734011534795,SPOT_BTC_USDT,100957.6,7e-05,BUY,0
1734011534995,SPOT_ETH_USDT,3938.96,7.6331,BUY,0
1734011534995,SPOT_ETH_USDT,3939.27,0.033475,BUY,0
1734011534995,SPOT_WOO_USDT,0.3053,818.68,BUY,0
1734011534995,SPOT_WOO_USDT,0.3052,198.6,BUY,0
1734011534995,SPOT_BTC_USDT,100961.29,0.113182,BUY,0
1734011535195,SPOT_ETH_USDT,3939.16,0.2,BUY,0
1734011535195,SPOT_BTC_USDT,100957.59,0.0009,SELL,0
1734011535395,SPOT_ETH_USDT,3939.46,3.0,BUY,0
1734011535395,SPOT_ETH_USDT,3939.16,0.1,BUY,0
1734011535595,SPOT_ETH_USDT,3939.16,1.4883,BUY,0
1734011535795,SPOT_ETH_USDT,3939.2,2.4269,BUY,0
1734011535995,SPOT_ETH_USDT,3939.37,0.346,BUY,0
1734011536195,SPOT_ETH_USDT,3939.4,0.356,BUY,0
1734011536395,SPOT_ETH_USDT,3939.44,0.2,BUY,0
1734011536395,SPOT_BTC_USDT,100957.9,0.004404,BUY,0
1734011536395,SPOT_BTC_USDT,100957.8,0.000105,SELL,0
1734011536395,SPOT_WOO_USDT,0.3052,333.9,SELL,0
1734011536595,SPOT_ETH_USDT,3939.44,0.1,BUY,0
1734011536795,SPOT_ETH_USDT,3939.44,0.1,BUY,0
1734011536995,SPOT_ETH_USDT,3939.43,0.1015,SELL,0
1734011536995,SPOT_ETH_USDT,3939.44,0.2,BUY,0
1734011537195,SPOT_ETH_USDT,3939.57,3.5375,BUY,0
1734011537195,SPOT_ETH_USDT,3939.49,0.139,SELL,0
1734011537195,SPOT_ETH_USDT,3939.46,1.927802,BUY,0
1734011537195,SPOT_WOO_USDT,0.3053,818.7,BUY,0
1734011537195,SPOT_BTC_USDT,100968.01,1e-05,SELL,0
1734011537195,SPOT_BTC_USDT,100962.73,0.120672,BUY,0
1734011537195,SPOT_BTC_USDT,100959.55,0.1901,BUY,0
1734011537395,SPOT_ETH_USDT,3939.89,0.1273,SELL,0
1734011537395,SPOT_ETH_USDT,3939.9,0.1,BUY,0
1734011537395,SPOT_BTC_USDT,100966.81,0.00288,BUY,0
1734011537395,SPOT_BTC_USDT,100966.28,0.05679,SELL,0
1734011537595,SPOT_ETH_USDT,3939.89,10.2538,SELL,0
1734011537595,SPOT_ETH_USDT,3939.9,0.2054,BUY,0
1734011537595,SPOT_BTC_USDT,100967.98,0.00128,BUY,0
1734011537795,SPOT_ETH_USDT,3939.9,0.1021,BUY,0
1734011537995,SPOT_ETH_USDT,3939.9,0.1,BUY,0
1734011537995,SPOT_BTC_USDT,100967.97,0.00418,SELL,0
1734011537995,SPOT_BTC_USDT,100975.29,0.127173,BUY,0
1734011538195,SPOT_ETH_USDT,3939.9,0.1117,BUY,0
1734011538195,SPOT_BTC_USDT,100967.97,0.00978,SELL,0
1734011538395,SPOT_ETH_USDT,3940.3,0.0167,SELL,0
1734011538395,SPOT_ETH_USDT,3940.01,13.1356,BUY,0
1734011538395,SPOT_ETH_USDT,3940.05,3.00781,BUY,0
1734011538395,SPOT_WOO_USDT,0.30545,1016.8,BUY,0
1734011538395,SPOT_WOO_USDT,0.30536,2173.6,BUY,0
