number,train_f1score,valid_f1score,datetime_start,datetime_complete,duration,params_learning_rate,params_max_depth,params_min_child_weight,params_num_boost_round,system_attrs_nsga2:generation,state
86,0.7814443620641705,0.5362815589378136,2024-10-08 21:24:49.814131,2024-10-08 21:38:16.157801,0 days 00:13:26.343670,0.02660750487480286,8,0.5356071607778772,268,1,COMPLETE
87,0.5683264598425708,0.5121027808062508,2024-10-08 21:38:16.158303,2024-10-08 21:48:34.901589,0 days 00:10:18.743286,0.0011455840572002843,7,0.6391976582804922,233,1,COMPLETE
88,0.6264032383089317,0.5329559114249847,2024-10-08 21:48:34.902330,2024-10-08 21:56:35.355232,0 days 00:08:00.452902,0.04365416598890447,5,0.6609220132487724,246,1,COMPLETE
89,0.5603004418204607,0.5317280213290398,2024-10-08 21:56:35.355655,2024-10-08 21:59:44.853371,0 days 00:03:09.497716,0.08878713458912414,3,0.5356071607778772,151,1,COMPLETE
90,0.6905323798906914,0.5360383033893137,2024-10-08 21:59:44.854124,2024-10-08 22:07:19.443233,0 days 00:07:34.589109,0.08455595399151476,5,0.7865446863548275,234,1,COMPLETE
91,0.8702135265049714,0.5318443653118107,2024-10-08 22:07:19.443658,2024-10-08 22:22:01.349897,0 days 00:14:41.906239,0.044258082472027074,8,0.9937279929876248,294,1,COMPLETE
92,0.7826587348568262,0.5383104243029985,2024-10-08 22:22:01.350355,2024-10-08 22:30:56.389107,0 days 00:08:55.038752,0.09040493754005155,6,0.723872783145403,233,1,COMPLETE
93,0.7593351728302402,0.535563699477009,2024-10-08 22:30:56.389515,2024-10-08 22:41:30.250999,0 days 00:10:33.861484,0.027532638090089996,8,0.5827011375096942,212,1,COMPLETE
94,0.7863394760513628,0.5322746551213965,2024-10-08 22:41:30.251441,2024-10-08 22:55:18.444122,0 days 00:13:48.192681,0.027532638090089996,8,0.732493334469099,276,1,COMPLETE
95,0.6141306575417174,0.5414829783814165,2024-10-08 22:55:18.444901,2024-10-08 23:00:26.603981,0 days 00:05:08.159080,0.03369440864595436,6,0.9518706124810348,134,1,COMPLETE
96,0.5302972909536846,0.5103405907229247,2024-10-08 23:00:26.604657,2024-10-08 23:03:19.789353,0 days 00:02:53.184696,0.017378574468961565,3,0.8733089926877701,139,1,COMPLETE
97,0.6609058086970172,0.5273018086717255,2024-10-08 23:03:19.790111,2024-10-08 23:11:25.235235,0 days 00:08:05.445124,0.00973970912133917,8,0.6527546485936393,162,1,COMPLETE
98,0.6987431212981853,0.5361498549313415,2024-10-08 23:11:25.238757,2024-10-08 23:18:55.477703,0 days 00:07:30.238946,0.09374966342190862,5,0.8355313455955404,231,1,COMPLETE
99,0.803076501615166,0.5399743592208223,2024-10-08 23:18:55.478589,2024-10-08 23:30:17.267203,0 days 00:11:21.788614,0.08182098781742336,6,0.8064827183758972,298,1,COMPLETE
