ts,price,imbalance,total_buy,total_sell
1727745771008.0,2624.4,16340.010864000278,8367.18382000006,7972.827044000218
1727745772008.0,2624.4,16340.010864000278,8367.18382000006,7972.827044000218
1727745773008.0,2624.4,16340.010864000278,8367.18382000006,7972.827044000218
1727745774008.0,2624.4,16340.070364000278,8367.24332000006,7972.827044000218
1727745775008.0,2624.4,16340.213764000277,8367.24332000006,7972.970444000218
1727745776008.0,2624.4,16340.923190000278,8367.90952000006,7973.013670000218
1727745777009.0,2624.3,16341.204890000277,8368.19112000006,7973.013770000218
1727745778008.0,2624.3,16341.208790000277,8368.19502000006,7973.013770000218
1727745779008.0,2624.3,16341.213290000276,8368.19502000006,7973.018270000218
1727745780008.0,2624.3,16341.435930000276,8368.19502000006,7973.240910000218
1727745781008.0,2624.3,16341.473048000276,8368.19502000006,7973.278028000218
1727745782009.0,2623.3,16520.817381000277,8372.60645000006,8148.210931000218
1727745783008.0,2623.2,16520.877916000278,8372.634850000059,8148.243066000218
1727745784008.0,2623.2,16523.446947000277,8375.203781000058,8148.2431660002185
1727745785008.0,2623.2,16523.453147000277,8375.203781000058,8148.249366000218
1727745786008.0,2623.2,16523.575038000276,8375.325572000058,8148.2494660002185
1727745787008.0,2623.2,16523.576938000275,8375.327472000057,8148.2494660002185
1727745788007.0,2623.2,16523.576938000275,8375.327472000057,8148.2494660002185
1727745789008.0,2623.2,16523.631038000276,8375.381572000057,8148.2494660002185
1727745790008.0,2623.2,16523.733138000276,8375.381572000057,8148.351566000219
1727745791008.0,2623.2,16523.733138000276,8375.381572000057,8148.351566000219
1727745792008.0,2623.2,16535.134058000276,8375.621472000057,8159.512586000219
1727745793009.0,2623.2,16535.134058000276,8375.621472000057,8159.512586000219
1727745794008.0,2623.0,16542.820066000277,8375.621472000057,8167.198594000219
1727745795008.0,2623.0,16542.820066000277,8375.621472000057,8167.198594000219
1727745796007.0,2623.0,16544.239897000276,8376.262072000058,8167.977825000219
1727745797008.0,2623.0,16545.385667000275,8377.122395000057,8168.263272000219
1727745798013.0,2622.9,16545.972086000278,8377.236314000058,8168.73577200022
1727745799007.0,2622.7,16548.09818600028,8377.236414000057,8170.86177200022
1727745800007.0,2622.7,16548.161986000276,8377.236414000057,8170.92557200022
1727745801007.0,2622.7,16548.175186000277,8377.236414000057,8170.9387720002205
1727745802008.0,2622.7,16548.17768600028,8377.236414000057,8170.94127200022
1727745803009.0,2622.7,16548.32677600028,8377.284104000057,8171.042672000221
1727745804008.0,2622.7,16549.026776000275,8377.284104000057,8171.74267200022
1727745805008.0,2622.7,16549.036176000278,8377.293504000058,8171.74267200022
1727745806008.0,2622.9,16550.37148700028,8378.628815000058,8171.74267200022
1727745807008.0,2622.9,16550.411487000278,8378.628815000058,8171.78267200022
1727745808009.0,2622.9,16550.411487000278,8378.628815000058,8171.78267200022
1727745809008.0,2622.9,16550.465087000277,8378.682415000058,8171.78267200022
1727745810008.0,2622.9,16551.36478700028,8378.682415000058,8172.68237200022
1727745811007.0,2622.9,16551.36478700028,8378.682415000058,8172.68237200022
1727745812007.0,2622.9,16551.495487000277,8378.682415000058,8172.81307200022
1727745813008.0,2622.9,16551.64298700028,8378.829915000058,8172.81307200022
1727745814007.0,2622.9,16557.36457300028,8384.551401000059,8172.81317200022
1727745815009.0,2622.9,16557.36457300028,8384.551401000059,8172.81317200022
1727745816007.0,2622.9,16557.56427300028,8384.666101000059,8172.89817200022
1727745817007.0,2622.9,16557.74297300028,8384.70670100006,8173.03627200022
1727745818009.0,2622.9,16558.00447300028,8384.82920100006,8173.1752720002205
1727745819008.0,2622.9,16558.00447300028,8384.82920100006,8173.1752720002205
1727745820008.0,2622.9,16558.00447300028,8384.82920100006,8173.1752720002205
1727745821008.0,2622.9,16558.00447300028,8384.82920100006,8173.1752720002205
1727745822008.0,2623.1,16562.20527300028,8389.00980100006,8173.19547200022
1727745823008.0,2623.2,16567.56987300028,8394.33440100006,8173.23547200022
1727745824008.0,2623.2,16567.57377300028,8394.33440100006,8173.23937200022
1727745825008.0,2623.2,16567.78287300028,8394.39800100006,8173.38487200022
1727745826008.0,2623.4,16580.23602800028,8404.14455600006,8176.09147200022
1727745827008.0,2623.2,16587.70062800028,8404.14455600006,8183.55607200022
1727745828009.0,2623.2,16587.81452800028,8404.14455600006,8183.669972000221
1727745829011.0,2623.2,16587.84732800028,8404.17735600006,8183.669972000221
1727745830008.0,2623.2,16587.91182800028,8404.24185600006,8183.669972000221
1727745831008.0,2623.2,16588.71442000028,8404.24185600006,8184.472564000221
1727745832008.0,2623.2,16589.71342000028,8404.24185600006,8185.4715640002205
1727745833008.0,2623.4,16590.671720000282,8405.20015600006,8185.4715640002205
1727745834008.0,2623.7,16591.66662000028,8406.05005600006,8185.616564000221
1727745835008.0,2623.7,16591.675320000282,8406.05405600006,8185.621264000221
1727745836007.0,2623.7,16592.28009400028,8406.16318800006,8186.116906000221
1727745837007.0,2623.7,16593.645564000282,8406.16318800006,8187.482376000221
1727745838008.0,2623.7,16593.981264000282,8406.26888800006,8187.7123760002205
1727745839008.0,2623.7,16593.989873000282,8406.26888800006,8187.720985000221
1727745840008.0,2623.7,16594.13737300028,8406.27078800006,8187.866585000222
1727745841008.0,2624.2,16606.68052800028,8418.813843000058,8187.866685000222
1727745842008.0,2624.7,16608.39892800028,8420.532143000059,8187.866785000222
1727745843007.0,2624.8,16611.37742800028,8423.506643000059,8187.870785000222
1727745844008.0,2624.4,16617.051783000283,8423.66589800006,8193.385885000223
1727745845007.0,2623.9,16628.609783000284,8423.95159800006,8204.658185000222
1727745846007.0,2623.9,16628.65531700028,8423.99703200006,8204.658285000221
1727745847008.0,2623.9,16628.77271700028,8423.99703200006,8204.77568500022
1727745848008.0,2623.9,16629.87541700028,8425.09973200006,8204.77568500022
1727745849009.0,2623.9,16630.175417000282,8425.39973200006,8204.77568500022
1727745850008.0,2623.7,16637.778417000278,8425.44413200006,8212.334285000217
1727745851007.0,2623.6,16638.798298000278,8425.44413200006,8213.354166000217
1727745852008.0,2623.5,16639.371198000277,8425.469532000061,8213.901666000218
1727745853009.0,2623.5,16639.371198000277,8425.469532000061,8213.901666000218
1727745854009.0,2623.5,16639.40299800028,8425.469532000061,8213.933466000219
1727745855007.0,2623.5,16639.522698000277,8425.46963200006,8214.053066000219
1727745856008.0,2623.5,16639.75089800028,8425.46963200006,8214.281266000218
1727745857009.0,2623.4,16640.570939000278,8425.58703200006,8214.983907000218
1727745858007.0,2623.1,16645.069778000277,8426.39484300006,8218.674935000217
1727745859008.0,2622.9,16645.319978000276,8426.42684300006,8218.893135000217
1727745860009.0,2622.7,16651.811359000276,8426.51574300006,8225.295616000216
1727745861008.0,2622.5,16653.806611000276,8426.51584300006,8227.290768000215
1727745862008.0,2622.6,16654.459349000274,8426.51894300006,8227.940406000216
1727745863008.0,2622.6,16654.491149000278,8426.51894300006,8227.972206000217
1727745864008.0,2622.6,16654.572249000274,8426.533943000059,8228.038306000217
1727745865008.0,2622.4,16804.583320000274,8426.533943000059,8378.049377000216
1727745866008.0,2622.0,16994.554357000274,8429.307143000058,8565.247214000216
1727745867008.0,2622.0,16994.554357000274,8429.307143000058,8565.247214000216
1727745868008.0,2622.0,16994.697657000273,8429.312143000057,8565.385514000216
1727745869007.0,2622.0,16994.844857000273,8429.330543000058,8565.514314000216
1727745870008.0,2622.4,17006.698563000275,8441.184149000057,8565.514414000216
1727745871007.0,2622.8,17007.358763000273,8441.844249000058,8565.514514000215
1727745872007.0,2622.9,17007.37986300027,8441.865349000058,8565.514514000215
1727745873008.0,2623.0,17008.16131900027,8441.994705000057,8566.166614000214
1727745874007.0,2623.3,17014.647690000267,8448.480976000055,8566.166714000214
1727745875008.0,2623.8,17022.02961700027,8455.722303000055,8566.307314000214
1727745876008.0,2623.9,17022.08761700027,8455.775703000056,8566.311914000215
1727745877008.0,2624.1,17053.415917000268,8461.482603000055,8591.933314000215
1727745878008.0,2624.1,17053.88691700027,8461.482603000055,8592.404314000214
1727745879009.0,2624.1,17054.27561700027,8461.482603000055,8592.793014000214
1727745880008.0,2624.1,17054.280117000268,8461.487103000054,8592.793014000214
1727745881007.0,2624.1,17054.280117000268,8461.487103000054,8592.793014000214
1727745882007.0,2623.9,17055.893899000264,8461.598303000053,8594.295596000213
1727745883011.0,2624.0,17056.676099000266,8462.266703000054,8594.409396000212
